2026-05-23 22:01:58 INFO research_news.journals: journals run: groups=['core', 'prob_stats', 'applied', 'econ', 'astro', 'epi', 'ieee'], only=['astro']
2026-05-23 22:01:58 ERROR research_news.journals: no papers — bailing
2026-05-23 22:02:44 INFO research_news.journals: journals run: groups=['astro'], only=all
2026-05-23 22:02:44 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of Monthly Notices of the Royal Astronomical Society (ISSN 0035-8711)
2026-05-23 22:02:54 INFO research_news.scrapers.crossref:   got 420 works
2026-05-23 22:02:54 INFO research_news.scrapers.crossref:   taking issues: [(549, 1), (548, 4), (548, 3), (548, 2), (548, 1), (547, 4)]
2026-05-23 22:02:55 INFO research_news.scrapers.crossref:   312 papers in latest issue (filtered 8 discussion/comment items)
2026-05-23 22:02:55 INFO research_news.journals:   [astro] MNRAS → 312 papers
2026-05-23 22:02:55 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of Astrophysical Journal Supplement Series (ISSN 0067-0049)
2026-05-23 22:03:09 INFO research_news.scrapers.crossref:   got 420 works
2026-05-23 22:03:09 INFO research_news.scrapers.crossref:   taking issues: [(284, 2), (284, 1), (283, 2), (283, 1), (282, 2), (282, 1), (281, 2), (281, 1), (280, 2), (280, 1), (279, 2), (279, 1)]
2026-05-23 22:03:09 INFO research_news.scrapers.crossref:   412 papers in latest issue (filtered 2 discussion/comment items)
2026-05-23 22:03:09 INFO research_news.journals:   [astro] ApJS → 412 papers
2026-05-23 22:03:09 INFO research_news.journals: dropped 12 papers already in seen_papers.json
2026-05-23 22:03:09 INFO research_news.journals: scoring 712 papers (model=glm-5.1) ...
2026-05-23 22:03:09 INFO research_news.llm.pipeline: scoring batch 1/89 (8 papers) ...
2026-05-23 22:03:20 INFO research_news.llm.pipeline: score batch 1: parsed 8 scores
2026-05-23 22:03:20 INFO research_news.llm.pipeline: scoring batch 2/89 (8 papers) ...
2026-05-23 22:03:28 INFO research_news.llm.pipeline: score batch 2: parsed 8 scores
2026-05-23 22:03:28 INFO research_news.llm.pipeline: scoring batch 3/89 (8 papers) ...
2026-05-23 22:03:37 INFO research_news.llm.pipeline: score batch 3: parsed 8 scores
2026-05-23 22:03:37 INFO research_news.llm.pipeline: scoring batch 4/89 (8 papers) ...
2026-05-23 22:03:44 INFO research_news.llm.pipeline: score batch 4: parsed 8 scores
2026-05-23 22:03:44 INFO research_news.llm.pipeline: scoring batch 5/89 (8 papers) ...
2026-05-23 22:03:52 INFO research_news.llm.pipeline: score batch 5: parsed 8 scores
2026-05-23 22:03:52 INFO research_news.llm.pipeline: scoring batch 6/89 (8 papers) ...
2026-05-23 22:04:33 INFO research_news.llm.pipeline: score batch 6: parsed 8 scores
2026-05-23 22:04:33 INFO research_news.llm.pipeline: scoring batch 7/89 (8 papers) ...
2026-05-23 22:04:43 INFO research_news.llm.pipeline: score batch 7: parsed 8 scores
