2026-05-24 15:09:03 INFO research_news.journals: journals run: groups=['ieee'], only=all
2026-05-24 15:09:03 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of IEEE Transactions on Information Theory (ISSN 0018-9448)
2026-05-24 15:09:06 INFO research_news.scrapers.crossref:   got 420 works
2026-05-24 15:09:06 INFO research_news.scrapers.crossref:   taking issues: [(72, 6), (72, 5), (72, 4), (72, 3), (72, 2), (72, 1), (71, 12), (71, 11)]
2026-05-24 15:09:06 INFO research_news.scrapers.crossref:   352 papers in latest issue (filtered 0 discussion/comment items)
2026-05-24 15:09:06 INFO research_news.scrapers.crossref: backfill T2 (S2): 352 papers
2026-05-24 15:28:49 INFO research_news.scrapers.crossref:   T2 filled 314/352
2026-05-24 15:28:49 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 38 papers
2026-05-24 15:30:22 INFO research_news.scrapers.crossref:   T3 filled 6/38
2026-05-24 15:30:22 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 32 papers
2026-05-24 15:33:43 INFO research_news.scrapers.crossref:   T4 filled 2/32
2026-05-24 15:33:43 INFO research_news.scrapers.crossref: after all backfills: 30/352 still missing abstract
2026-05-24 15:33:43 INFO research_news.journals:   [ieee] TIT → 352 papers
2026-05-24 15:33:43 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of IEEE Transactions on Pattern Analysis and Machine Intelligence (ISSN 0162-8828)
2026-05-24 15:33:50 INFO research_news.scrapers.crossref:   got 420 works
2026-05-24 15:33:50 INFO research_news.scrapers.crossref:   taking issues: [(48, 6), (48, 5), (48, 4), (48, 3), (48, 2), (48, 1)]
2026-05-24 15:33:50 INFO research_news.scrapers.crossref:   388 papers in latest issue (filtered 0 discussion/comment items)
2026-05-24 15:33:50 INFO research_news.scrapers.crossref: backfill T2 (S2): 388 papers
2026-05-24 15:45:58 INFO research_news.scrapers.crossref:   T2 filled 385/388
2026-05-24 15:45:58 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 3 papers
2026-05-24 15:46:05 INFO research_news.scrapers.crossref:   T3 filled 2/3
2026-05-24 15:46:05 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 1 papers
2026-05-24 15:46:12 INFO research_news.scrapers.crossref:   T4 filled 0/1
2026-05-24 15:46:12 INFO research_news.scrapers.crossref: after all backfills: 1/388 still missing abstract
2026-05-24 15:46:12 INFO research_news.journals:   [ieee] TPAMI → 388 papers
2026-05-24 15:46:12 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of IEEE Transactions on Signal Processing (ISSN 1053-587X)
2026-05-24 15:46:16 INFO research_news.scrapers.crossref:   got 420 works
2026-05-24 15:46:16 INFO research_news.scrapers.crossref:   no (vol, issue) keys found, taking 180 most recent
2026-05-24 15:46:16 INFO research_news.scrapers.crossref:   180 papers in latest issue (filtered 0 discussion/comment items)
2026-05-24 15:46:16 INFO research_news.scrapers.crossref: backfill T2 (S2): 180 papers
2026-05-24 15:54:57 INFO research_news.scrapers.crossref:   T2 filled 148/180
2026-05-24 15:54:57 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 32 papers
2026-05-24 15:56:10 INFO research_news.scrapers.crossref:   T3 filled 26/32
2026-05-24 15:56:10 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 6 papers
2026-05-24 15:56:50 INFO research_news.scrapers.crossref:   T4 filled 2/6
2026-05-24 15:56:50 INFO research_news.scrapers.crossref: after all backfills: 4/180 still missing abstract
2026-05-24 15:56:50 INFO research_news.journals:   [ieee] TSP → 180 papers
2026-05-24 15:56:50 INFO research_news.scrapers.crossref: Crossref: fetching latest 12 issues of IEEE Journal on Selected Areas in Information Theory (ISSN 2641-8770)
2026-05-24 15:56:54 INFO research_news.scrapers.crossref:   got 420 works
2026-05-24 15:56:54 INFO research_news.scrapers.crossref:   taking issues: [(3, 4), (3, 3), (3, 2), (3, 1), (2, 4), (2, 3), (2, 2), (2, 1), (1, 3), (1, 2)]
2026-05-24 15:56:54 INFO research_news.scrapers.crossref:   230 papers in latest issue (filtered 9 discussion/comment items)
2026-05-24 15:56:54 INFO research_news.scrapers.crossref: backfill T2 (S2): 230 papers
2026-05-24 16:12:08 INFO research_news.scrapers.crossref:   T2 filled 184/230
2026-05-24 16:12:08 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 46 papers
2026-05-24 16:13:48 INFO research_news.scrapers.crossref:   T3 filled 16/46
2026-05-24 16:13:48 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 30 papers
2026-05-24 16:16:32 INFO research_news.scrapers.crossref:   T4 filled 0/30
2026-05-24 16:16:32 INFO research_news.scrapers.crossref: after all backfills: 30/230 still missing abstract
2026-05-24 16:16:32 INFO research_news.journals:   [ieee] JSAIT → 230 papers
2026-05-24 16:16:32 INFO research_news.journals: dropped 65 papers with no abstract (Crossref + S2 both empty)
2026-05-24 16:16:32 INFO research_news.journals: scoring 1085 papers (model=glm-5.1) ...
2026-05-24 16:16:32 INFO research_news.llm.pipeline: scoring batch 1/136 (8 papers) ...
2026-05-24 16:16:41 INFO research_news.llm.pipeline: score batch 1: parsed 8 scores
2026-05-24 16:16:41 INFO research_news.llm.pipeline: scoring batch 2/136 (8 papers) ...
2026-05-24 16:16:52 INFO research_news.llm.pipeline: score batch 2: parsed 8 scores
2026-05-24 16:16:52 INFO research_news.llm.pipeline: scoring batch 3/136 (8 papers) ...
2026-05-24 16:16:58 INFO research_news.llm.pipeline: score batch 3: parsed 8 scores
2026-05-24 16:16:58 INFO research_news.llm.pipeline: scoring batch 4/136 (8 papers) ...
2026-05-24 16:17:10 INFO research_news.llm.pipeline: score batch 4: parsed 8 scores
2026-05-24 16:17:10 INFO research_news.llm.pipeline: scoring batch 5/136 (8 papers) ...
2026-05-24 16:17:18 INFO research_news.llm.pipeline: score batch 5: parsed 8 scores
2026-05-24 16:17:18 INFO research_news.llm.pipeline: scoring batch 6/136 (8 papers) ...
2026-05-24 16:17:29 INFO research_news.llm.pipeline: score batch 6: parsed 8 scores
2026-05-24 16:17:29 INFO research_news.llm.pipeline: scoring batch 7/136 (8 papers) ...
2026-05-24 16:17:40 INFO research_news.llm.pipeline: score batch 7: parsed 8 scores
2026-05-24 16:17:40 INFO research_news.llm.pipeline: scoring batch 8/136 (8 papers) ...
2026-05-24 16:17:50 INFO research_news.llm.pipeline: score batch 8: parsed 8 scores
2026-05-24 16:17:50 INFO research_news.llm.pipeline: scoring batch 9/136 (8 papers) ...
2026-05-24 16:17:57 INFO research_news.llm.pipeline: score batch 9: parsed 8 scores
2026-05-24 16:17:57 INFO research_news.llm.pipeline: scoring batch 10/136 (8 papers) ...
2026-05-24 16:18:16 INFO research_news.llm.pipeline: score batch 10: parsed 8 scores
2026-05-24 16:18:16 INFO research_news.llm.pipeline: scoring batch 11/136 (8 papers) ...
2026-05-24 16:18:24 INFO research_news.llm.pipeline: score batch 11: parsed 8 scores
2026-05-24 16:18:24 INFO research_news.llm.pipeline: scoring batch 12/136 (8 papers) ...
2026-05-24 16:18:40 INFO research_news.llm.pipeline: score batch 12: parsed 8 scores
2026-05-24 16:18:40 INFO research_news.llm.pipeline: scoring batch 13/136 (8 papers) ...
2026-05-24 16:18:50 INFO research_news.llm.pipeline: score batch 13: parsed 8 scores
2026-05-24 16:18:50 INFO research_news.llm.pipeline: scoring batch 14/136 (8 papers) ...
2026-05-24 16:19:00 INFO research_news.llm.pipeline: score batch 14: parsed 8 scores
2026-05-24 16:19:00 INFO research_news.llm.pipeline: scoring batch 15/136 (8 papers) ...
2026-05-24 16:19:09 INFO research_news.llm.pipeline: score batch 15: parsed 8 scores
2026-05-24 16:19:09 INFO research_news.llm.pipeline: scoring batch 16/136 (8 papers) ...
2026-05-24 16:19:20 INFO research_news.llm.pipeline: score batch 16: parsed 8 scores
2026-05-24 16:19:20 INFO research_news.llm.pipeline: scoring batch 17/136 (8 papers) ...
2026-05-24 16:19:28 INFO research_news.llm.pipeline: score batch 17: parsed 8 scores
2026-05-24 16:19:28 INFO research_news.llm.pipeline: scoring batch 18/136 (8 papers) ...
2026-05-24 16:19:45 INFO research_news.llm.pipeline: score batch 18: parsed 8 scores
2026-05-24 16:19:45 INFO research_news.llm.pipeline: scoring batch 19/136 (8 papers) ...
2026-05-24 16:19:55 INFO research_news.llm.pipeline: score batch 19: parsed 8 scores
2026-05-24 16:19:55 INFO research_news.llm.pipeline: scoring batch 20/136 (8 papers) ...
2026-05-24 16:20:06 INFO research_news.llm.pipeline: score batch 20: parsed 8 scores
2026-05-24 16:20:06 INFO research_news.llm.pipeline: scoring batch 21/136 (8 papers) ...
2026-05-24 16:20:18 INFO research_news.llm.pipeline: score batch 21: parsed 8 scores
2026-05-24 16:20:18 INFO research_news.llm.pipeline: scoring batch 22/136 (8 papers) ...
2026-05-24 16:20:29 INFO research_news.llm.pipeline: score batch 22: parsed 8 scores
2026-05-24 16:20:29 INFO research_news.llm.pipeline: scoring batch 23/136 (8 papers) ...
2026-05-24 16:20:49 INFO research_news.llm.pipeline: score batch 23: parsed 8 scores
2026-05-24 16:20:49 INFO research_news.llm.pipeline: scoring batch 24/136 (8 papers) ...
2026-05-24 16:20:57 INFO research_news.llm.pipeline: score batch 24: parsed 8 scores
2026-05-24 16:20:57 INFO research_news.llm.pipeline: scoring batch 25/136 (8 papers) ...
2026-05-24 16:21:08 INFO research_news.llm.pipeline: score batch 25: parsed 8 scores
2026-05-24 16:21:08 INFO research_news.llm.pipeline: scoring batch 26/136 (8 papers) ...
2026-05-24 16:21:16 INFO research_news.llm.pipeline: score batch 26: parsed 8 scores
2026-05-24 16:21:16 INFO research_news.llm.pipeline: scoring batch 27/136 (8 papers) ...
2026-05-24 16:21:24 INFO research_news.llm.pipeline: score batch 27: parsed 8 scores
2026-05-24 16:21:24 INFO research_news.llm.pipeline: scoring batch 28/136 (8 papers) ...
