2026-06-05 17:31:24 INFO research_news.journals: journals run: groups=['ieee'], only=all
2026-06-05 17:31:24 INFO research_news.scrapers.crossref: Crossref: fetching latest 4 issues of IEEE Transactions on Information Theory (ISSN 0018-9448)
2026-06-05 17:31:30 INFO research_news.scrapers.crossref:   got 140 works
2026-06-05 17:31:30 INFO research_news.scrapers.crossref:   taking issues: [(72, 6), (72, 5), (72, 4)]
2026-06-05 17:31:30 INFO research_news.scrapers.crossref:   140 papers in latest issue (filtered 0 discussion/comment items)
2026-06-05 17:31:30 INFO research_news.scrapers.crossref: backfill T2 (S2): 140 papers
2026-06-05 17:41:52 INFO research_news.scrapers.crossref:   T2 filled 125/140
2026-06-05 17:41:52 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 15 papers
2026-06-05 17:42:26 INFO research_news.scrapers.crossref:   T3 filled 3/15
2026-06-05 17:42:26 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 12 papers
2026-06-05 17:47:31 INFO research_news.scrapers.crossref:   T4 filled 0/12
2026-06-05 17:47:31 INFO research_news.scrapers.crossref: after all backfills: 12/140 still missing abstract
2026-06-05 17:47:31 INFO research_news.journals:   [ieee] TIT → 140 papers
2026-06-05 17:47:31 INFO research_news.scrapers.crossref: Crossref: fetching latest 4 issues of IEEE Transactions on Pattern Analysis and Machine Intelligence (ISSN 0162-8828)
2026-06-05 17:47:36 INFO research_news.scrapers.crossref:   got 140 works
2026-06-05 17:47:36 INFO research_news.scrapers.crossref:   taking issues: [(48, 6), (48, 5), (48, 4)]
2026-06-05 17:47:36 INFO research_news.scrapers.crossref:   140 papers in latest issue (filtered 0 discussion/comment items)
2026-06-05 17:47:36 INFO research_news.scrapers.crossref: backfill T2 (S2): 140 papers
2026-06-05 17:53:15 INFO research_news.scrapers.crossref:   T2 filled 139/140
2026-06-05 17:53:15 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 1 papers
2026-06-05 17:53:17 INFO research_news.scrapers.crossref:   T3 filled 1/1
2026-06-05 17:53:17 INFO research_news.scrapers.crossref: after all backfills: 0/140 still missing abstract
2026-06-05 17:53:17 INFO research_news.journals:   [ieee] TPAMI → 140 papers
2026-06-05 17:53:17 INFO research_news.scrapers.crossref: Crossref: fetching latest 4 issues of IEEE Transactions on Signal Processing (ISSN 1053-587X)
2026-06-05 17:53:20 INFO research_news.scrapers.crossref:   got 140 works
2026-06-05 17:53:20 INFO research_news.scrapers.crossref:   no (vol, issue) keys found, taking 60 most recent
2026-06-05 17:53:20 INFO research_news.scrapers.crossref:   60 papers in latest issue (filtered 0 discussion/comment items)
2026-06-05 17:53:20 INFO research_news.scrapers.crossref: backfill T2 (S2): 60 papers
2026-06-05 17:56:44 INFO research_news.scrapers.crossref:   T2 filled 52/60
2026-06-05 17:56:44 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 8 papers
2026-06-05 17:57:03 INFO research_news.scrapers.crossref:   T3 filled 8/8
2026-06-05 17:57:03 INFO research_news.scrapers.crossref: after all backfills: 0/60 still missing abstract
2026-06-05 17:57:03 INFO research_news.journals:   [ieee] TSP → 60 papers
2026-06-05 17:57:03 INFO research_news.scrapers.crossref: Crossref: fetching latest 4 issues of IEEE Journal on Selected Areas in Information Theory (ISSN 2641-8770)
2026-06-05 17:57:10 INFO research_news.scrapers.crossref:   got 140 works
2026-06-05 17:57:10 INFO research_news.scrapers.crossref:   no (vol, issue) keys found, taking 60 most recent
2026-06-05 17:57:10 INFO research_news.scrapers.crossref:   58 papers in latest issue (filtered 2 discussion/comment items)
2026-06-05 17:57:10 INFO research_news.scrapers.crossref: backfill T2 (S2): 58 papers
2026-06-05 18:01:20 INFO research_news.scrapers.crossref:   T2 filled 49/58
2026-06-05 18:01:20 INFO research_news.scrapers.crossref: backfill T3 (OpenAlex): 9 papers
2026-06-05 18:01:40 INFO research_news.scrapers.crossref:   T3 filled 7/9
2026-06-05 18:01:40 INFO research_news.scrapers.crossref: backfill T4 (arxiv title search): 2 papers
2026-06-05 18:01:52 INFO research_news.scrapers.crossref:   T4 filled 0/2
2026-06-05 18:01:52 INFO research_news.scrapers.crossref: after all backfills: 2/58 still missing abstract
2026-06-05 18:01:52 INFO research_news.journals:   [ieee] JSAIT → 58 papers
2026-06-05 18:01:52 INFO research_news.journals: dropped 14 papers with no abstract (Crossref + S2 both empty)
2026-06-05 18:01:52 INFO research_news.scrapers.crossref: arxiv link resolution: searching for 384 papers
2026-06-05 18:51:25 INFO research_news.scrapers.crossref:   attached arxiv link to 215/384 papers
2026-06-05 18:51:25 INFO research_news.journals: scoring 384 papers (model=glm-5.1) ...
2026-06-05 18:51:25 INFO research_news.llm.pipeline: scoring batch 1/48 (8 papers) ...
2026-06-05 18:51:35 INFO research_news.llm.pipeline: score batch 1: parsed 8 scores
2026-06-05 18:51:35 INFO research_news.llm.pipeline: scoring batch 2/48 (8 papers) ...
2026-06-05 18:51:44 INFO research_news.llm.pipeline: score batch 2: parsed 8 scores
2026-06-05 18:51:44 INFO research_news.llm.pipeline: scoring batch 3/48 (8 papers) ...
2026-06-05 18:51:54 INFO research_news.llm.pipeline: score batch 3: parsed 8 scores
2026-06-05 18:51:54 INFO research_news.llm.pipeline: scoring batch 4/48 (8 papers) ...
2026-06-05 18:52:02 INFO research_news.llm.pipeline: score batch 4: parsed 8 scores
2026-06-05 18:52:02 INFO research_news.llm.pipeline: scoring batch 5/48 (8 papers) ...
2026-06-05 18:52:14 INFO research_news.llm.pipeline: score batch 5: parsed 8 scores
2026-06-05 18:52:14 INFO research_news.llm.pipeline: scoring batch 6/48 (8 papers) ...
2026-06-05 18:52:23 INFO research_news.llm.pipeline: score batch 6: parsed 8 scores
2026-06-05 18:52:23 INFO research_news.llm.pipeline: scoring batch 7/48 (8 papers) ...
2026-06-05 18:52:32 INFO research_news.llm.pipeline: score batch 7: parsed 8 scores
2026-06-05 18:52:32 INFO research_news.llm.pipeline: scoring batch 8/48 (8 papers) ...
2026-06-05 18:52:44 INFO research_news.llm.pipeline: score batch 8: parsed 8 scores
2026-06-05 18:52:44 INFO research_news.llm.pipeline: scoring batch 9/48 (8 papers) ...
2026-06-05 18:52:56 INFO research_news.llm.pipeline: score batch 9: parsed 8 scores
2026-06-05 18:52:56 INFO research_news.llm.pipeline: scoring batch 10/48 (8 papers) ...
2026-06-05 18:53:07 INFO research_news.llm.pipeline: score batch 10: parsed 8 scores
2026-06-05 18:53:07 INFO research_news.llm.pipeline: scoring batch 11/48 (8 papers) ...
2026-06-05 18:53:20 INFO research_news.llm.pipeline: score batch 11: parsed 8 scores
2026-06-05 18:53:20 INFO research_news.llm.pipeline: scoring batch 12/48 (8 papers) ...
2026-06-05 18:53:29 INFO research_news.llm.pipeline: score batch 12: parsed 8 scores
2026-06-05 18:53:29 INFO research_news.llm.pipeline: scoring batch 13/48 (8 papers) ...
2026-06-05 18:53:38 INFO research_news.llm.pipeline: score batch 13: parsed 8 scores
2026-06-05 18:53:38 INFO research_news.llm.pipeline: scoring batch 14/48 (8 papers) ...
2026-06-05 18:53:50 INFO research_news.llm.pipeline: score batch 14: parsed 8 scores
2026-06-05 18:53:50 INFO research_news.llm.pipeline: scoring batch 15/48 (8 papers) ...
2026-06-05 18:54:02 INFO research_news.llm.pipeline: score batch 15: parsed 8 scores
2026-06-05 18:54:02 INFO research_news.llm.pipeline: scoring batch 16/48 (8 papers) ...
2026-06-05 18:54:13 INFO research_news.llm.pipeline: score batch 16: parsed 8 scores
2026-06-05 18:54:13 INFO research_news.llm.pipeline: scoring batch 17/48 (8 papers) ...
2026-06-05 18:54:24 INFO research_news.llm.pipeline: score batch 17: parsed 8 scores
2026-06-05 18:54:24 INFO research_news.llm.pipeline: scoring batch 18/48 (8 papers) ...
2026-06-05 18:54:35 INFO research_news.llm.pipeline: score batch 18: parsed 8 scores
2026-06-05 18:54:35 INFO research_news.llm.pipeline: scoring batch 19/48 (8 papers) ...
2026-06-05 18:54:45 INFO research_news.llm.pipeline: score batch 19: parsed 8 scores
2026-06-05 18:54:45 INFO research_news.llm.pipeline: scoring batch 20/48 (8 papers) ...
2026-06-05 18:54:55 INFO research_news.llm.pipeline: score batch 20: parsed 8 scores
2026-06-05 18:54:55 INFO research_news.llm.pipeline: scoring batch 21/48 (8 papers) ...
2026-06-05 18:55:03 INFO research_news.llm.pipeline: score batch 21: parsed 8 scores
2026-06-05 18:55:03 INFO research_news.llm.pipeline: scoring batch 22/48 (8 papers) ...
2026-06-05 18:55:12 INFO research_news.llm.pipeline: score batch 22: parsed 8 scores
2026-06-05 18:55:12 INFO research_news.llm.pipeline: scoring batch 23/48 (8 papers) ...
2026-06-05 18:55:21 INFO research_news.llm.pipeline: score batch 23: parsed 8 scores
2026-06-05 18:55:21 INFO research_news.llm.pipeline: scoring batch 24/48 (8 papers) ...
2026-06-05 18:55:31 INFO research_news.llm.pipeline: score batch 24: parsed 8 scores
2026-06-05 18:55:31 INFO research_news.llm.pipeline: scoring batch 25/48 (8 papers) ...
